maintained,technique,is,CUT,and,the,number,is,20
cut,1,cut,20,cut,20,cut,20,245
cut,2,cut,20,cut,20,cut,20,245
cut,3,cut,20,cut,20,cut,20,245
cut,4,cut,20,cut,20,cut,20,245
cut,5,cut,20,cut,20,cut,20,245
cut,6,cut,20,cut,20,cut,20,245
cut,7,cut,20,cut,20,cut,20,245
cut,8,cut,20,cut,20,cut,20,245
cut,9,cut,20,cut,20,cut,20,245
cut,10,cut,20,cut,20,cut,20,245
cut,11,cut,20,cut,20,cut,20,245
cut,12,cut,20,cut,20,cut,20,245
cut,13,cut,20,cut,20,cut,20,245
cut,14,cut,20,cut,20,cut,20,245
cut,15,cut,20,cut,20,cut,20,245
cut,16,cut,20,cut,20,cut,20,245
cut,17,cut,20,cut,20,cut,20,245
cut,18,cut,20,cut,20,cut,20,245
cut,19,cut,20,cut,20,cut,20,245
cut,20,cut,20,cut,20,cut,20,510
cut,21,cut,20,cut,20,cut,20,245
cut,22,cut,20,cut,20,cut,20,245
cut,23,cut,20,cut,20,cut,20,245
cut,24,cut,20,cut,20,cut,20,245
cut,25,cut,20,cut,20,cut,20,245
cut,26,cut,20,cut,20,cut,20,245
cut,27,cut,20,cut,20,cut,20,245
cut,28,cut,20,cut,20,cut,20,245
cut,29,cut,20,cut,20,cut,20,245
cut,30,cut,20,cut,20,cut,20,245
cut,31,cut,20,cut,20,cut,20,245
cut,32,cut,20,cut,20,cut,20,245
cut,33,cut,20,cut,20,cut,20,245
cut,34,cut,20,cut,20,cut,20,245
cut,35,cut,20,cut,20,cut,20,245
cut,36,cut,20,cut,20,cut,20,245
cut,37,cut,20,cut,20,cut,20,245
cut,38,cut,20,cut,20,cut,20,245
cut,39,cut,20,cut,20,cut,20,245
cut,40,cut,20,cut,20,cut,20,245
cut,41,cut,20,cut,20,cut,20,245
cut,42,cut,20,cut,20,cut,20,245
cut,43,cut,20,cut,20,cut,20,245
cut,44,cut,20,cut,20,cut,20,245
cut,45,cut,20,cut,20,cut,20,245
cut,46,cut,20,cut,20,cut,20,245
cut,47,cut,20,cut,20,cut,20,245
cut,48,cut,20,cut,20,cut,20,245
cut,49,cut,20,cut,20,cut,20,245
cut,50,cut,20,cut,20,cut,20,245
cut,51,cut,20,cut,20,cut,20,245
slipcut,2,cut,20,cut,20,cut,20,230
slipcut,3,cut,20,cut,20,cut,20,230
slipcut,4,cut,20,cut,20,cut,20,230
slipcut,5,cut,20,cut,20,cut,20,230
slipcut,6,cut,20,cut,20,cut,20,230
slipcut,7,cut,20,cut,20,cut,20,230
slipcut,8,cut,20,cut,20,cut,20,235
slipcut,9,cut,20,cut,20,cut,20,235
slipcut,10,cut,20,cut,20,cut,20,230
slipcut,11,cut,20,cut,20,cut,20,230
slipcut,12,cut,20,cut,20,cut,20,230
slipcut,13,cut,20,cut,20,cut,20,230
slipcut,14,cut,20,cut,20,cut,20,230
slipcut,15,cut,20,cut,20,cut,20,230
slipcut,16,cut,20,cut,20,cut,20,230
slipcut,17,cut,20,cut,20,cut,20,230
slipcut,18,cut,20,cut,20,cut,20,230
slipcut,19,cut,20,cut,20,cut,20,230
slipcut,20,cut,20,cut,20,cut,20,230
slipcut,21,cut,20,cut,20,cut,20,230
slipcut,22,cut,20,cut,20,cut,20,230
slipcut,23,cut,20,cut,20,cut,20,230
slipcut,24,cut,20,cut,20,cut,20,230
slipcut,25,cut,20,cut,20,cut,20,230
slipcut,26,cut,20,cut,20,cut,20,230
slipcut,27,cut,20,cut,20,cut,20,230
slipcut,28,cut,20,cut,20,cut,20,235
slipcut,29,cut,20,cut,20,cut,20,230
slipcut,30,cut,20,cut,20,cut,20,230
slipcut,31,cut,20,cut,20,cut,20,230
slipcut,32,cut,20,cut,20,cut,20,230
slipcut,33,cut,20,cut,20,cut,20,235
slipcut,34,cut,20,cut,20,cut,20,230
slipcut,35,cut,20,cut,20,cut,20,230
slipcut,36,cut,20,cut,20,cut,20,230
slipcut,37,cut,20,cut,20,cut,20,230
slipcut,38,cut,20,cut,20,cut,20,230
slipcut,39,cut,20,cut,20,cut,20,230
slipcut,40,cut,20,cut,20,cut,20,230
slipcut,41,cut,20,cut,20,cut,20,230
slipcut,42,cut,20,cut,20,cut,20,230
slipcut,43,cut,20,cut,20,cut,20,230
slipcut,44,cut,20,cut,20,cut,20,230
slipcut,45,cut,20,cut,20,cut,20,230
slipcut,46,cut,20,cut,20,cut,20,230
slipcut,47,cut,20,cut,20,cut,20,230
slipcut,48,cut,20,cut,20,cut,20,230
slipcut,49,cut,20,cut,20,cut,20,230
slipcut,50,cut,20,cut,20,cut,20,230
slipcut,51,cut,20,cut,20,cut,20,230
slipcut,2,cut,20,cut,20,cut,20,230
slipcut,3,cut,20,cut,20,cut,20,230
slipcut,4,cut,20,cut,20,cut,20,230
slipcut,5,cut,20,cut,20,cut,20,230
slipcut,6,cut,20,cut,20,cut,20,230
slipcut,7,cut,20,cut,20,cut,20,230
slipcut,8,cut,20,cut,20,cut,20,230
slipcut,9,cut,20,cut,20,cut,20,230
slipcut,10,cut,20,cut,20,cut,20,230
slipcut,11,cut,20,cut,20,cut,20,230
slipcut,12,cut,20,cut,20,cut,20,230
slipcut,13,cut,20,cut,20,cut,20,230
slipcut,14,cut,20,cut,20,cut,20,230
slipcut,15,cut,20,cut,20,cut,20,230
slipcut,16,cut,20,cut,20,cut,20,230
slipcut,17,cut,20,cut,20,cut,20,230
slipcut,18,cut,20,cut,20,cut,20,230
slipcut,19,cut,20,cut,20,cut,20,230
slipcut,20,cut,20,cut,20,cut,20,230
slipcut,21,cut,20,cut,20,cut,20,235
slipcut,22,cut,20,cut,20,cut,20,230
slipcut,23,cut,20,cut,20,cut,20,230
slipcut,24,cut,20,cut,20,cut,20,235
slipcut,25,cut,20,cut,20,cut,20,230
